"id","name","department","passwordhash"
111,"Leo Tolstoy","Neurology","HASHED_PASSWORD"
112,"Fyodor Dostoevsky","Neurology","HASHED_PASSWORD"
113,"Mark Twain","General Medicine","HASHED_PASSWORD"
114,"Charles Dickens","General Medicine","HASHED_PASSWORD"
115,"Virginia Woolf","Pulmonology","HASHED_PASSWORD"
116,"George Orwell","Pulmonology","HASHED_PASSWORD"
117,"Jane Austen","Cardiology","HASHED_PASSWORD"
118,"Emily Bronte","Cardiology","HASHED_PASSWORD"
119,"Franz Kafka","Gastroenterology","HASHED_PASSWORD"
120,"Gabriel Garcia Marquez","Gastroenterology","HASHED_PASSWORD"
121,"Ernest Hemingway","Rheumatology","HASHED_PASSWORD"
122,"F. Scott Fitzgerald","Rheumatology","HASHED_PASSWORD"
123,"J.R.R. Tolkien","Orthopedics","HASHED_PASSWORD"
124,"C.S. Lewis","Orthopedics","HASHED_PASSWORD"
125,"Oscar Wilde","Dermatology","HASHED_PASSWORD"
126,"Edgar Allan Poe","Dermatology","HASHED_PASSWORD"
127,"Homer","Ophthalmology","HASHED_PASSWORD"
128,"Sophocles","Ophthalmology","HASHED_PASSWORD"
129,"William Shakespeare","ENT","HASHED_PASSWORD"
130,"Christopher Marlowe","ENT","HASHED_PASSWORD"
131,"Dante Alighieri","General Surgery","HASHED_PASSWORD"
132,"Giovanni Boccaccio","General Surgery","HASHED_PASSWORD"
133,"Haruki Murakami","Urology","HASHED_PASSWORD"
134,"Kenzaburo Oe","Urology","HASHED_PASSWORD"
135,"Herman Melville","Endocrinology","HASHED_PASSWORD"
136,"Nathaniel Hawthorne","Endocrinology","HASHED_PASSWORD"
137,"J.D. Salinger","Psychiatry","HASHED_PASSWORD"
138,"Sylvia Plath","Psychiatry","HASHED_PASSWORD"
139,"Albert Camus","Oncology","HASHED_PASSWORD"
140,"Jean-Paul Sartre","Oncology","HASHED_PASSWORD"
141,"Leo Tolstoy","Dentistry","HASHED_PASSWORD"
142,"Anton Chekhov","Dentistry","HASHED_PASSWORD"
143,"Sun Tzu","Vascular Surgery","HASHED_PASSWORD"
144,"Confucius","Vascular Surgery","HASHED_PASSWORD"
145,"Rabindranath Tagore","Infectious Disease","HASHED_PASSWORD"
146,"R.K. Narayan","Infectious Disease","HASHED_PASSWORD"
147,"Thomas Hardy","Hematology","HASHED_PASSWORD"
148,"D.H. Lawrence","Hematology","HASHED_PASSWORD"
149,"O. Henry","Proctology","HASHED_PASSWORD"
150,"Jack London","Proctology","HASHED_PASSWORD"
151,"Emily Dickinson","Gynecology","HASHED_PASSWORD"
152,"Louisa May Alcott","Gynecology","HASHED_PASSWORD"
153,"Maya Angelou","Allergy","HASHED_PASSWORD"
154,"Toni Morrison","Allergy","HASHED_PASSWORD"
155,"George Bernard Shaw","Nutrition","HASHED_PASSWORD"
156,"H.G. Wells","Nutrition","HASHED_PASSWORD"
157,"Khalil Gibran","Hepatology","HASHED_PASSWORD"
158,"Naguib Mahfouz","Hepatology","HASHED_PASSWORD"
159,"A.A. Milne","Pediatrics","HASHED_PASSWORD"
160,"Beatrix Potter","Pediatrics","HASHED_PASSWORD"
161,"Victor Hugo","Neonatology","HASHED_PASSWORD"
162,"Jules Verne","Neonatology","HASHED_PASSWORD"
